部门id,部门,辅助分类,品种编号,品种名称,日期,台号,单价,销售量,赠送数量,取消数量,销售金额,赠送金额,取消金额,金额百分比,成本
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,V2,38,1,0,0,0,0,0,0,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,263,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,226,38,1,0,0,1,0,0,0.0024,18.24
9,海鲜,其他,110311837,沙虾/斤,2014_09_01,V8,58,1,0,0,68,0,0,0.1761,29.58
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,286,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,262,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,263,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,232,38,2,0,0,2,0,0,0.0054,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_24,288,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,221,38,1,0,-1,1,0,-38,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,292,38,2,0,0,2,0,0,0.0054,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,加2,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,加8,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,266,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,293,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,261,38,3,0,0,3,0,0,0.0073,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,223,38,3,0,0,3,0,0,0.0081,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,加9,38,1,0,0,1,0,0,0.0024,18.24
2,中厨,中厨,110309373,生菜,2014_09_01,V8,28,1,0,0,18,0,0,0.0466,12.88
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,213,38,1,0,0,1,0,0,0.0024,18.24
2,中厨,其他,110309395,蒜茸粉丝蒸5元,2014_09_01,V8,5,1,0,0,5,0,0,0.013,2.6
6,点心,其他,110313460,特色蛋松,2014_09_01,V8,68,1,0,0,35,0,0,0.0907,40.12
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,216,38,1,0,0,1,0,0,0.0026,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,225,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,282,38,2,0,0,2,0,0,0.0054,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,223,38,3,0,0,3,0,0,0.0077,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,215,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,加5,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,258,38,2,0,0,2,0,0,0.0051,18.24
2,中厨,其他,110313445,温公粗斋,2014_09_01,V8,38,1,0,0,38,0,0,0.0984,20.52
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,221,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_24,291,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,213,38,2,0,0,2,0,0,0.0058,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,275,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,212,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,203,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313485,香辣牛展,2014_09_01,V8,23,2,0,0,56,0,0,0.1451,12.19
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,265,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,202,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,加9,38,2,0,0,2,0,0,0.0054,18.24
9,海鲜,其他,110312256,夜游鹤/只,2014_09_01,V8,188,1,0,0,188,0,0,0.487,95.88
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,270,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,271,38,1,0,0,1,0,0,0.003,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_09,205,38,2,0,0,2,0,0,0.0051,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,256,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,292,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,266,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_11,205,38,2,0,0,2,0,0,0.006,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_23,282,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,211,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,261,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,258,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,236,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_02,216,38,1,0,0,1,0,0,0.0029,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,270,38,1,0,0,1,0,0,0.0027,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_08,215,38,2,0,0,2,0,0,0.0054,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_12,233,38,1,0,0,1,0,0,0.0024,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_24,266,38,2,0,0,2,0,0,0.0058,18.24
4,味部,其他,110313928,鸳鸯萝卜双丸煲,2014_09_24,加2,38,1,0,0,1,0,0,0.0029,18.24
